rental_id,property_id,city,state,locality,property_type,bhk,bedrooms,bathrooms,carpet_area_sqft,built_up_area_sqft,monthly_rent_inr,security_deposit_inr,deposit_months,maintenance_charges,total_monthly_cost,rent_per_sqft,furnishing_status,available_from,preferred_tenant,non_veg_allowed,pets_allowed,floor_number,total_floors,facing,parking,amenities_count,listing_date,broker_required,brokerage_percent,annual_rent_inr,listing_source
RNT201331,PROP504181,Coimbatore,Tamil Nadu,Zone H,Apartment,2,2,3,1478,1700,7500,37500,5,3500,11000,5.07,Unfurnished,07-12-2024,Any,Yes,No,24,29,West,Yes,6,06-02-2025,No,2,90000,NoBroker
RNT201332,PROP500316,Delhi,Delhi,Lajpat Nagar,Penthouse,2,2,3,2100,2415,31500,157500,5,1500,33000,15,Furnished,08-08-2025,Family,Yes,No,10,26,North-East,Yes,6,13-07-2023,No,0,378000,MagicBricks
RNT201333,PROP505130,Surat,Gujarat,Bhatar,Apartment,2,2,3,1723,1981,11000,110000,10,1500,12500,6.38,Unfurnished,03-10-2024,Bachelors,No,No,14,27,South-East,Yes,5,27-12-2024,No,2,132000,Owner
RNT201334,PROP503019,Kolkata,West Bengal,Park Street,Studio,1,1,2,1065,1225,16500,33000,2,0,16500,15.49,Semi-Furnished,24-10-2024,Working Professionals,Yes,Yes,1,4,North-East,Yes,5,07-04-2025,No,1,198000,99acres
RNT201335,PROP502256,Kochi,Kerala,Zone I,Builder Floor,2,2,3,1851,2129,12000,120000,10,3500,15500,6.48,Furnished,10-01-2025,Any,Yes,Yes,4,10,East,Yes,8,03-06-2024,No,2,144000,Housing.com
RNT201336,PROP502540,Coimbatore,Tamil Nadu,Zone F,Builder Floor,3,3,4,1980,2277,10000,20000,2,1500,11500,5.05,Furnished,05-12-2025,Bachelors,Yes,Yes,23,35,South-East,Yes,7,27-07-2023,Yes,0.5,120000,99acres
RNT201337,PROP505769,Bangalore,Karnataka,Sarjapur,Villa,2,2,3,1809,2080,30000,150000,5,2500,32500,16.58,Unfurnished,09-04-2024,Working Professionals,Yes,No,2,18,West,Yes,7,11-02-2024,No,2,360000,99acres
RNT201338,PROP501242,Kochi,Kerala,Zone I,Villa,2,2,3,1965,2260,11500,23000,2,1500,13000,5.85,Semi-Furnished,09-06-2024,Any,Yes,Yes,5,27,North,No,4,13-01-2025,Yes,1,138000,Owner
RNT201339,PROP500478,Delhi,Delhi,Dwarka,Row House,4,4,5,1887,2170,43500,130500,3,0,43500,23.05,Semi-Furnished,26-05-2024,Bachelors,Yes,No,27,31,South,Yes,8,03-12-2023,Yes,2,522000,99acres
RNT201340,PROP501923,Visakhapatnam,Andhra Pradesh,Zone D,Studio,3,3,4,2148,2470,18000,180000,10,1500,19500,8.38,Furnished,18-05-2024,Working Professionals,No,No,20,34,North-East,Yes,6,03-08-2025,Yes,0,216000,Housing.com
RNT201341,PROP503921,Ahmedabad,Gujarat,Bopal,Studio,2,2,3,2083,2395,18000,90000,5,3000,21000,8.64,Semi-Furnished,16-10-2025,Any,No,No,12,36,East,No,8,22-03-2025,No,2,216000,NoBroker
RNT201342,PROP502213,Vadodara,Gujarat,Zone F,Apartment,5,5,5,2465,2835,20000,200000,10,3500,23500,8.11,Semi-Furnished,19-07-2024,Family,Yes,No,4,8,South-West,Yes,3,26-01-2024,Yes,1,240000,Housing.com
RNT201343,PROP505944,Mumbai,Maharashtra,Andheri,Builder Floor,4,4,5,2276,2617,66000,198000,3,0,66000,29,Furnished,25-03-2024,Any,Yes,No,10,29,East,Yes,4,31-01-2024,No,0,792000,MagicBricks
RNT201344,PROP502058,Hyderabad,Telangana,Madhapur,Independent House,4,4,5,2151,2474,33000,330000,10,3500,36500,15.34,Unfurnished,10-09-2024,Working Professionals,No,No,15,31,North,Yes,6,03-11-2023,Yes,0,396000,Owner
RNT201345,PROP501114,Patna,Bihar,Zone D,Independent House,5,5,5,2843,3269,20000,200000,10,2500,22500,7.03,Unfurnished,15-05-2025,Working Professionals,Yes,Yes,9,35,North-East,Yes,3,28-11-2025,Yes,0.5,240000,NoBroker
RNT201346,PROP501284,Kolkata,West Bengal,Behala,Row House,1,1,2,1202,1382,14000,140000,10,2500,16500,11.65,Unfurnished,17-11-2025,Family,Yes,No,11,14,South,Yes,7,01-07-2025,No,1,168000,99acres
RNT201347,PROP501328,Jaipur,Rajasthan,Ajmer Road,Penthouse,5,5,5,2461,2830,18000,36000,2,2000,20000,7.31,Unfurnished,20-04-2025,Family,No,Yes,21,23,South-East,No,3,02-02-2023,No,0,216000,MagicBricks
RNT201348,PROP501524,Nagpur,Maharashtra,Zone I,Independent House,4,4,5,2294,2638,16500,99000,6,3000,19500,7.19,Semi-Furnished,18-07-2024,Bachelors,Yes,Yes,2,5,North,Yes,7,23-12-2024,Yes,2,198000,99acres
RNT201349,PROP505700,Kochi,Kerala,Zone I,Studio,3,3,4,1663,1912,13000,78000,6,1500,14500,7.82,Unfurnished,21-05-2024,Bachelors,Yes,No,18,34,South-East,Yes,7,17-10-2025,No,1,156000,99acres
RNT201350,PROP501401,Ahmedabad,Gujarat,Satellite,Row House,3,3,4,2282,2624,18500,37000,2,0,18500,8.11,Unfurnished,29-10-2025,Family,Yes,Yes,4,24,East,Yes,7,05-03-2025,No,1,222000,99acres
RNT201351,PROP500134,Bhopal,Madhya Pradesh,Zone E,Villa,1,1,2,1243,1429,8000,48000,6,3000,11000,6.44,Furnished,27-07-2024,Any,Yes,No,6,18,North-East,Yes,7,06-06-2024,Yes,0,96000,MagicBricks
RNT201352,PROP502586,Visakhapatnam,Andhra Pradesh,Zone A,Builder Floor,2,2,3,1463,1682,12000,24000,2,3500,15500,8.2,Semi-Furnished,05-04-2025,Family,Yes,Yes,10,18,North-East,Yes,8,29-01-2024,Yes,0,144000,MagicBricks
RNT201353,PROP504192,Kochi,Kerala,Zone B,Builder Floor,3,3,4,1966,2261,15500,77500,5,3000,18500,7.88,Unfurnished,12-04-2024,Any,Yes,No,20,20,East,Yes,6,09-09-2023,Yes,0,186000,MagicBricks
RNT201354,PROP501374,Kochi,Kerala,Zone J,Penthouse,2,2,3,1955,2248,10500,105000,10,2500,13000,5.37,Semi-Furnished,16-09-2025,Any,No,No,16,23,South,Yes,7,31-08-2024,Yes,2,126000,Owner
RNT201355,PROP504570,Hyderabad,Telangana,Nallagandla,Apartment,3,3,4,1769,2034,17500,105000,6,2000,19500,9.89,Semi-Furnished,17-03-2024,Working Professionals,Yes,No,19,26,North-East,Yes,4,23-03-2024,No,1,210000,99acres
RNT201356,PROP502234,Delhi,Delhi,Pitampura,Penthouse,2,2,3,1719,1977,35500,71000,2,1500,37000,20.65,Semi-Furnished,03-09-2025,Any,No,No,34,38,East,Yes,3,18-05-2025,No,2,426000,NoBroker
RNT201357,PROP504897,Chennai,Tamil Nadu,T Nagar,Independent House,5,5,5,2577,2964,39500,395000,10,3500,43000,15.33,Furnished,25-04-2025,Working Professionals,Yes,No,13,39,North,Yes,4,28-01-2024,No,0.5,474000,NoBroker
RNT201358,PROP504940,Coimbatore,Tamil Nadu,Zone J,Builder Floor,2,2,3,1423,1636,15500,93000,6,3500,19000,10.89,Unfurnished,19-11-2024,Bachelors,Yes,No,6,40,South,Yes,7,18-12-2024,Yes,1,186000,Owner
RNT201359,PROP502012,Chennai,Tamil Nadu,Adyar,Independent House,3,3,4,2016,2318,17500,175000,10,3000,20500,8.68,Unfurnished,11-04-2025,Bachelors,No,Yes,16,22,South-West,Yes,5,18-06-2024,No,1,210000,MagicBricks
RNT201360,PROP500364,Hyderabad,Telangana,Kondapur,Penthouse,5,5,5,2369,2724,39000,78000,2,1500,40500,16.46,Unfurnished,21-02-2025,Bachelors,Yes,No,24,31,West,Yes,5,23-08-2024,Yes,0,468000,Housing.com
RNT201361,PROP501681,Coimbatore,Tamil Nadu,Zone C,Apartment,3,3,4,2071,2382,15500,77500,5,3500,19000,7.48,Unfurnished,08-04-2025,Bachelors,Yes,No,2,20,West,No,5,08-08-2023,No,0,186000,Owner
RNT201362,PROP502036,Visakhapatnam,Andhra Pradesh,Zone B,Row House,5,5,5,2571,2957,17000,51000,3,3000,20000,6.61,Semi-Furnished,21-11-2025,Any,Yes,No,5,23,South-East,Yes,6,24-10-2023,Yes,0,204000,Housing.com
RNT201363,PROP502446,Indore,Madhya Pradesh,Zone E,Independent House,2,2,3,1537,1768,11000,66000,6,1500,12500,7.16,Semi-Furnished,22-09-2025,Any,Yes,No,8,26,South-East,Yes,4,06-12-2025,Yes,1,132000,Owner
RNT201364,PROP503427,Pune,Maharashtra,Pashan,Villa,1,1,2,1151,1324,30000,60000,2,2500,32500,26.06,Furnished,16-10-2025,Any,Yes,No,5,10,South-East,No,6,08-04-2025,Yes,1,360000,MagicBricks
RNT201365,PROP503492,Lucknow,Uttar Pradesh,Zone D,Penthouse,1,1,2,1523,1751,10000,20000,2,3000,13000,6.57,Semi-Furnished,12-09-2024,Bachelors,Yes,Yes,7,26,South-West,Yes,6,24-06-2024,No,0,120000,Housing.com
RNT201366,PROP501259,Hyderabad,Telangana,Madhapur,Builder Floor,5,5,5,2992,3441,33000,330000,10,1500,34500,11.03,Semi-Furnished,05-02-2024,Working Professionals,Yes,No,15,18,East,No,6,30-03-2025,No,1,396000,Housing.com
RNT201367,PROP504854,Delhi,Delhi,Vasant Kunj,Builder Floor,4,4,5,2555,2938,39000,390000,10,2000,41000,15.26,Furnished,27-08-2025,Bachelors,No,Yes,2,4,South-East,Yes,4,11-04-2023,No,1,468000,NoBroker
RNT201368,PROP504348,Ahmedabad,Gujarat,Bopal,Studio,3,3,4,2064,2374,20000,200000,10,3000,23000,9.69,Semi-Furnished,07-12-2025,Bachelors,Yes,No,11,25,South,Yes,3,23-01-2024,Yes,2,240000,Housing.com
RNT201369,PROP503776,Jaipur,Rajasthan,Pratap Nagar,Villa,2,2,3,1973,2269,10500,63000,6,2500,13000,5.32,Semi-Furnished,11-06-2024,Bachelors,Yes,No,9,12,West,Yes,8,07-03-2024,No,2,126000,Housing.com
RNT201370,PROP505214,Coimbatore,Tamil Nadu,Zone I,Builder Floor,2,2,3,1662,1911,12000,120000,10,3500,15500,7.22,Furnished,27-12-2024,Bachelors,Yes,No,28,35,South-East,Yes,3,22-04-2024,Yes,1,144000,Housing.com
RNT201371,PROP505868,Hyderabad,Telangana,HITEC City,Builder Floor,3,3,4,1840,2116,19500,117000,6,3500,23000,10.6,Unfurnished,27-11-2025,Family,Yes,No,11,27,West,No,4,01-04-2023,Yes,1,234000,MagicBricks
RNT201372,PROP500252,Hyderabad,Telangana,HITEC City,Studio,5,5,5,2342,2693,37000,222000,6,2500,39500,15.8,Semi-Furnished,13-02-2025,Family,Yes,No,6,30,East,No,8,09-11-2023,Yes,0,444000,Owner
RNT201373,PROP503039,Kochi,Kerala,Zone I,Penthouse,2,2,3,1541,1772,10000,30000,3,3500,13500,6.49,Semi-Furnished,26-10-2024,Any,No,No,7,16,North-West,Yes,6,09-10-2023,No,0.5,120000,MagicBricks
RNT201374,PROP500344,Lucknow,Uttar Pradesh,Zone F,Independent House,2,2,3,1585,1823,16500,33000,2,3500,20000,10.41,Semi-Furnished,22-11-2024,Working Professionals,Yes,No,2,3,South-West,Yes,7,07-02-2025,No,0.5,198000,Owner
RNT201375,PROP505890,Chandigarh,Chandigarh,Zone E,Villa,3,3,4,2008,2309,13000,26000,2,0,13000,6.47,Unfurnished,11-12-2024,Family,Yes,No,7,32,North-East,Yes,4,21-06-2024,No,0,156000,99acres
RNT201376,PROP501725,Coimbatore,Tamil Nadu,Zone D,Studio,2,2,3,1982,2279,12500,37500,3,3000,15500,6.31,Unfurnished,20-10-2024,Working Professionals,Yes,No,5,5,North-West,No,3,31-07-2023,Yes,2,150000,Housing.com
RNT201377,PROP504387,Hyderabad,Telangana,Kukatpally,Villa,2,2,3,1327,1526,27500,275000,10,0,27500,20.72,Furnished,07-02-2024,Bachelors,Yes,Yes,12,18,West,No,3,27-07-2023,Yes,0,330000,Housing.com
RNT201378,PROP501155,Nagpur,Maharashtra,Zone C,Villa,5,5,5,2570,2955,17000,170000,10,2000,19000,6.61,Semi-Furnished,17-10-2025,Working Professionals,Yes,Yes,11,11,West,Yes,3,17-07-2024,No,0,204000,NoBroker
RNT201379,PROP503774,Ahmedabad,Gujarat,Bopal,Builder Floor,2,2,3,1678,1930,15500,77500,5,2500,18000,9.24,Unfurnished,25-05-2024,Working Professionals,Yes,No,20,33,North-East,Yes,7,10-01-2025,No,0,186000,99acres
RNT201380,PROP503898,Hyderabad,Telangana,Banjara Hills,Independent House,2,2,3,1705,1961,26000,78000,3,1500,27500,15.25,Unfurnished,27-09-2025,Family,No,No,8,9,North,Yes,3,21-01-2025,No,0,312000,MagicBricks
RNT201381,PROP503234,Coimbatore,Tamil Nadu,Zone C,Builder Floor,1,1,2,1012,1164,6500,19500,3,2500,9000,6.42,Unfurnished,13-12-2025,Working Professionals,No,No,4,18,East,No,7,24-03-2023,No,1,78000,NoBroker
RNT201382,PROP501860,Lucknow,Uttar Pradesh,Zone E,Builder Floor,1,1,2,1247,1434,5000,50000,10,0,5000,4.01,Unfurnished,06-08-2025,Working Professionals,Yes,No,14,17,North-East,Yes,3,24-09-2025,No,2,60000,MagicBricks
RNT201383,PROP500982,Jaipur,Rajasthan,Sirsi Road,Builder Floor,1,1,2,1165,1340,11000,22000,2,3000,14000,9.44,Unfurnished,07-01-2025,Family,No,Yes,22,24,East,Yes,6,26-06-2025,Yes,2,132000,Housing.com
RNT201384,PROP501537,Patna,Bihar,Zone C,Studio,2,2,3,1560,1794,11500,69000,6,2000,13500,7.37,Unfurnished,13-09-2024,Any,No,Yes,4,4,East,Yes,7,01-08-2025,Yes,0.5,138000,Housing.com
RNT201385,PROP501897,Bangalore,Karnataka,Whitefield,Row House,3,3,4,2408,2769,35500,106500,3,3500,39000,14.74,Unfurnished,09-09-2025,Family,Yes,Yes,7,15,West,Yes,3,09-08-2025,Yes,0,426000,99acres
RNT201386,PROP503896,Pune,Maharashtra,Baner,Villa,4,4,5,2196,2525,36000,72000,2,2500,38500,16.39,Furnished,01-04-2025,Any,Yes,No,19,39,North-West,Yes,6,06-07-2024,Yes,0,432000,99acres
RNT201387,PROP502418,Bangalore,Karnataka,Sarjapur,Apartment,2,2,3,1698,1953,34000,170000,5,0,34000,20.02,Furnished,30-08-2025,Any,Yes,No,20,39,North-East,No,5,07-12-2025,Yes,0,408000,Housing.com
RNT201388,PROP502683,Kolkata,West Bengal,New Town,Villa,3,3,4,1910,2196,21500,129000,6,2000,23500,11.26,Unfurnished,25-07-2024,Family,Yes,Yes,4,8,North-West,Yes,6,07-09-2023,Yes,1,258000,99acres
RNT201389,PROP505440,Chennai,Tamil Nadu,Perambur,Penthouse,3,3,4,2089,2402,24000,48000,2,0,24000,11.49,Semi-Furnished,19-07-2025,Family,No,Yes,7,20,North,Yes,7,11-03-2025,Yes,0,288000,99acres
RNT201390,PROP504516,Delhi,Delhi,Connaught Place,Apartment,2,2,3,1528,1757,40000,240000,6,2500,42500,26.18,Unfurnished,21-03-2025,Family,Yes,No,19,40,North-West,Yes,3,13-12-2023,No,0.5,480000,99acres
RNT201391,PROP503325,Pune,Maharashtra,Undri,Villa,2,2,3,1583,1820,27000,270000,10,3000,30000,17.06,Semi-Furnished,28-05-2024,Any,No,No,6,9,South,Yes,4,11-04-2023,No,0.5,324000,99acres
RNT201392,PROP505689,Indore,Madhya Pradesh,Zone E,Villa,2,2,3,1906,2192,11500,115000,10,1500,13000,6.03,Unfurnished,16-06-2025,Working Professionals,Yes,No,19,31,North-East,Yes,8,16-02-2025,No,1,138000,NoBroker
RNT201393,PROP505177,Chandigarh,Chandigarh,Zone B,Apartment,3,3,4,1953,2246,15500,93000,6,1500,17000,7.94,Semi-Furnished,17-03-2024,Family,Yes,No,11,16,South-West,Yes,4,07-02-2023,No,1,186000,NoBroker
RNT201394,PROP500250,Pune,Maharashtra,Viman Nagar,Independent House,3,3,4,1911,2198,30000,150000,5,2000,32000,15.7,Semi-Furnished,29-10-2025,Working Professionals,No,No,1,4,North,Yes,5,15-12-2025,No,0,360000,Owner
RNT201395,PROP500351,Bhopal,Madhya Pradesh,Zone I,Villa,2,2,3,1867,2147,7500,37500,5,2000,9500,4.02,Unfurnished,24-05-2024,Working Professionals,Yes,No,10,10,North,Yes,5,02-09-2025,No,1,90000,NoBroker
RNT201396,PROP503534,Coimbatore,Tamil Nadu,Zone C,Studio,3,3,4,2134,2454,11500,23000,2,3000,14500,5.39,Furnished,23-01-2025,Bachelors,Yes,Yes,3,5,West,No,3,30-09-2023,Yes,2,138000,MagicBricks
RNT201397,PROP500267,Delhi,Delhi,Pitampura,Apartment,3,3,4,1749,2011,35500,71000,2,2500,38000,20.3,Furnished,10-12-2025,Bachelors,Yes,No,18,19,North-East,Yes,3,22-04-2024,No,0.5,426000,MagicBricks
RNT201398,PROP503048,Pune,Maharashtra,Pashan,Villa,2,2,3,1767,2032,34500,172500,5,2500,37000,19.52,Semi-Furnished,07-01-2025,Family,No,No,7,35,North-West,Yes,4,17-08-2024,No,1,414000,Housing.com
RNT201399,PROP500598,Mumbai,Maharashtra,Worli,Independent House,3,3,4,2014,2316,61500,123000,2,2000,63500,30.54,Unfurnished,07-01-2024,Family,Yes,No,16,18,North,Yes,7,07-04-2025,Yes,0,738000,Owner
RNT201400,PROP503831,Pune,Maharashtra,Kalyani Nagar,Studio,4,4,5,2332,2682,35500,177500,5,0,35500,15.22,Unfurnished,20-03-2025,Any,Yes,No,14,16,South-East,Yes,8,05-01-2025,Yes,0,426000,MagicBricks
RNT201401,PROP501209,Nagpur,Maharashtra,Zone H,Apartment,3,3,4,1790,2058,16000,32000,2,3000,19000,8.94,Unfurnished,16-03-2025,Any,No,No,2,5,South-East,No,4,18-01-2023,Yes,0,192000,MagicBricks
RNT201402,PROP505448,Indore,Madhya Pradesh,Zone A,Penthouse,5,5,5,2319,2667,17500,87500,5,0,17500,7.55,Unfurnished,09-11-2024,Bachelors,Yes,No,3,5,North-West,Yes,7,11-11-2025,Yes,2,210000,Housing.com
RNT201403,PROP504415,Surat,Gujarat,Katargam,Apartment,3,3,4,2092,2406,12500,75000,6,2000,14500,5.98,Semi-Furnished,12-01-2025,Bachelors,Yes,Yes,13,39,East,No,8,11-03-2023,No,0,150000,MagicBricks
RNT201404,PROP500119,Coimbatore,Tamil Nadu,Zone H,Apartment,2,2,3,1813,2085,12000,24000,2,0,12000,6.62,Semi-Furnished,02-09-2024,Bachelors,Yes,Yes,8,30,North-East,Yes,6,17-01-2024,Yes,2,144000,NoBroker
RNT201405,PROP502150,Bangalore,Karnataka,HSR Layout,Villa,3,3,4,2217,2550,33500,167500,5,3500,37000,15.11,Unfurnished,20-11-2025,Working Professionals,No,No,17,22,South-West,Yes,3,29-06-2025,Yes,0,402000,Housing.com
RNT201406,PROP501300,Hyderabad,Telangana,Gachibowli,Villa,1,1,2,1489,1712,19000,95000,5,1500,20500,12.76,Semi-Furnished,27-10-2025,Any,No,Yes,23,24,North,Yes,8,08-04-2025,Yes,2,228000,99acres
RNT201407,PROP501465,Hyderabad,Telangana,HITEC City,Studio,5,5,5,2714,3121,27500,275000,10,3000,30500,10.13,Unfurnished,03-11-2024,Family,No,Yes,4,4,North-West,Yes,6,01-12-2024,No,2,330000,99acres
RNT201408,PROP501845,Lucknow,Uttar Pradesh,Zone I,Builder Floor,1,1,2,1302,1497,13500,135000,10,3500,17000,10.37,Furnished,23-12-2024,Any,No,Yes,7,26,South,Yes,3,23-05-2025,Yes,1,162000,MagicBricks
RNT201409,PROP503027,Kochi,Kerala,Zone G,Independent House,5,5,5,2750,3162,21500,64500,3,0,21500,7.82,Semi-Furnished,08-07-2024,Family,Yes,Yes,9,9,East,Yes,5,04-04-2023,No,0,258000,Owner
RNT201410,PROP504851,Jaipur,Rajasthan,Vaishali Nagar,Villa,1,1,2,1530,1759,11500,34500,3,1500,13000,7.52,Unfurnished,02-08-2025,Bachelors,No,Yes,4,4,North-West,No,4,26-12-2025,Yes,0.5,138000,Housing.com
RNT201411,PROP502353,Chennai,Tamil Nadu,Porur,Penthouse,1,1,2,1633,1878,10000,30000,3,3500,13500,6.12,Furnished,01-08-2025,Family,Yes,No,18,28,East,No,7,25-06-2024,No,1,120000,MagicBricks
RNT201412,PROP502377,Bhopal,Madhya Pradesh,Zone A,Independent House,1,1,2,1274,1465,5000,25000,5,2500,7500,3.92,Unfurnished,30-06-2025,Family,No,No,1,32,East,No,8,07-12-2025,Yes,0.5,60000,MagicBricks
RNT201413,PROP501871,Surat,Gujarat,Katargam,Studio,3,3,4,2128,2447,13000,65000,5,1500,14500,6.11,Unfurnished,30-04-2025,Family,No,No,8,29,North-West,No,5,14-12-2025,No,1,156000,Housing.com
RNT201414,PROP502328,Visakhapatnam,Andhra Pradesh,Zone F,Apartment,3,3,4,1821,2094,14000,140000,10,1500,15500,7.69,Unfurnished,29-03-2024,Bachelors,No,No,19,30,West,No,8,09-10-2023,Yes,0,168000,MagicBricks
RNT201415,PROP501831,Visakhapatnam,Andhra Pradesh,Zone J,Villa,1,1,2,1332,1532,11500,23000,2,1500,13000,8.63,Unfurnished,17-05-2024,Working Professionals,Yes,No,4,13,South-East,Yes,6,01-08-2023,No,0,138000,99acres
RNT201416,PROP504264,Delhi,Delhi,Connaught Place,Penthouse,1,1,2,1664,1914,20500,61500,3,2000,22500,12.32,Furnished,22-10-2025,Working Professionals,Yes,No,32,33,East,No,7,12-05-2023,Yes,0.5,246000,NoBroker
RNT201417,PROP505792,Bhopal,Madhya Pradesh,Zone J,Studio,2,2,3,1792,2061,11000,22000,2,1500,12500,6.14,Unfurnished,15-06-2025,Family,No,No,28,33,South-East,Yes,8,03-12-2023,Yes,1,132000,99acres
RNT201418,PROP503806,Pune,Maharashtra,Pashan,Independent House,1,1,2,1479,1701,14000,140000,10,3500,17500,9.47,Furnished,08-10-2025,Bachelors,Yes,No,3,13,South-East,Yes,3,13-08-2025,No,0,168000,99acres
RNT201419,PROP500040,Hyderabad,Telangana,Kondapur,Apartment,5,5,5,2771,3187,32000,64000,2,2000,34000,11.55,Semi-Furnished,14-03-2024,Any,Yes,No,13,26,South,Yes,3,30-08-2023,No,0,384000,MagicBricks
RNT201420,PROP503915,Chandigarh,Chandigarh,Zone B,Penthouse,2,2,3,1566,1801,16000,160000,10,1500,17500,10.22,Furnished,26-05-2025,Any,Yes,Yes,5,16,North-East,Yes,5,26-07-2023,Yes,0.5,192000,NoBroker
RNT201421,PROP504731,Vadodara,Gujarat,Zone B,Penthouse,2,2,3,1728,1987,11500,69000,6,3000,14500,6.66,Semi-Furnished,04-01-2024,Family,No,Yes,31,31,East,No,3,10-10-2024,Yes,2,138000,NoBroker
RNT201422,PROP500479,Lucknow,Uttar Pradesh,Zone D,Penthouse,2,2,3,1878,2160,11000,22000,2,1500,12500,5.86,Unfurnished,15-02-2025,Family,Yes,No,7,20,North,Yes,3,01-04-2023,No,0.5,132000,Owner
RNT201423,PROP502219,Chandigarh,Chandigarh,Zone H,Penthouse,2,2,3,1679,1931,11500,115000,10,3500,15000,6.85,Unfurnished,21-08-2025,Bachelors,Yes,No,4,5,West,Yes,5,28-07-2023,No,0,138000,MagicBricks
RNT201424,PROP505955,Pune,Maharashtra,Baner,Independent House,3,3,4,1822,2095,16000,80000,5,1500,17500,8.78,Semi-Furnished,27-09-2024,Any,No,Yes,14,25,South-West,Yes,8,09-03-2023,Yes,0,192000,NoBroker
RNT201425,PROP504623,Nagpur,Maharashtra,Zone E,Apartment,3,3,4,2181,2508,13000,39000,3,3500,16500,5.96,Unfurnished,26-11-2025,Family,Yes,No,4,11,South-West,No,3,28-02-2025,Yes,0,156000,Owner
RNT201426,PROP503446,Pune,Maharashtra,Wakad,Penthouse,1,1,2,1552,1785,21500,64500,3,2500,24000,13.85,Unfurnished,24-08-2025,Bachelors,No,No,1,3,East,No,3,15-11-2025,No,1,258000,NoBroker
RNT201427,PROP501489,Bangalore,Karnataka,Marathahalli,Row House,2,2,3,1816,2088,29500,59000,2,1500,31000,16.24,Furnished,19-10-2025,Family,Yes,No,12,33,West,Yes,6,15-01-2024,No,0.5,354000,MagicBricks
RNT201428,PROP505699,Surat,Gujarat,Katargam,Independent House,2,2,3,1798,2068,7500,75000,10,0,7500,4.17,Unfurnished,24-05-2024,Family,No,No,14,16,North-East,No,7,20-05-2025,No,2,90000,MagicBricks
RNT201429,PROP500352,Visakhapatnam,Andhra Pradesh,Zone C,Independent House,1,1,2,944,1086,9000,45000,5,3500,12500,9.53,Furnished,10-12-2024,Working Professionals,Yes,Yes,3,9,East,No,5,22-01-2023,No,0.5,108000,Owner
RNT201430,PROP503881,Ahmedabad,Gujarat,Chandkheda,Apartment,2,2,3,1662,1911,11500,57500,5,3500,15000,6.92,Furnished,15-01-2024,Any,No,No,20,26,North-West,Yes,8,15-08-2024,Yes,1,138000,99acres
RNT201431,PROP505317,Hyderabad,Telangana,Jubilee Hills,Apartment,2,2,3,2008,2309,24500,122500,5,1500,26000,12.2,Furnished,29-01-2025,Any,No,Yes,17,18,West,No,5,06-08-2025,Yes,0.5,294000,Owner
RNT201432,PROP503609,Ahmedabad,Gujarat,Vastrapur,Apartment,2,2,3,1766,2031,16500,49500,3,3500,20000,9.34,Furnished,25-09-2024,Bachelors,Yes,No,20,24,North,Yes,6,12-02-2025,No,1,198000,Owner
RNT201433,PROP504207,Nagpur,Maharashtra,Zone J,Apartment,3,3,4,1901,2186,14500,87000,6,1500,16000,7.63,Furnished,09-10-2024,Working Professionals,Yes,No,6,35,South-East,Yes,8,29-04-2024,Yes,2,174000,NoBroker
RNT201434,PROP503036,Nagpur,Maharashtra,Zone D,Apartment,4,4,5,2431,2796,15000,45000,3,3000,18000,6.17,Furnished,27-07-2025,Family,Yes,No,2,6,West,Yes,6,21-12-2025,Yes,1,180000,Housing.com
RNT201435,PROP502333,Jaipur,Rajasthan,Sirsi Road,Apartment,3,3,4,2035,2340,17500,35000,2,2000,19500,8.6,Unfurnished,23-02-2025,Family,Yes,No,20,26,North-West,Yes,7,28-10-2025,Yes,1,210000,99acres
RNT201436,PROP501587,Visakhapatnam,Andhra Pradesh,Zone C,Villa,1,1,2,1346,1548,7000,14000,2,1500,8500,5.2,Semi-Furnished,04-03-2024,Family,Yes,Yes,24,40,South,No,4,28-09-2023,No,0.5,84000,NoBroker
RNT201437,PROP501370,Kochi,Kerala,Zone F,Row House,5,5,5,2697,3102,21500,215000,10,3000,24500,7.97,Semi-Furnished,09-07-2025,Any,Yes,No,3,19,North-East,Yes,3,20-04-2024,Yes,0,258000,NoBroker
RNT201438,PROP503337,Lucknow,Uttar Pradesh,Zone C,Villa,3,3,4,1663,1912,12000,36000,3,3000,15000,7.22,Furnished,25-07-2024,Working Professionals,No,No,13,13,North-East,Yes,5,16-02-2023,No,2,144000,Owner
RNT201439,PROP500146,Lucknow,Uttar Pradesh,Zone G,Villa,2,2,3,1461,1680,12000,72000,6,1500,13500,8.21,Furnished,26-09-2025,Bachelors,Yes,No,16,32,North,Yes,6,15-02-2023,No,0.5,144000,MagicBricks
RNT201440,PROP505176,Pune,Maharashtra,Wakad,Row House,1,1,2,1695,1949,14500,145000,10,2000,16500,8.55,Unfurnished,23-12-2024,Any,Yes,No,2,38,North-East,Yes,8,24-11-2024,No,2,174000,NoBroker
RNT201441,PROP505247,Coimbatore,Tamil Nadu,Zone B,Penthouse,1,1,2,1439,1655,9500,95000,10,2000,11500,6.6,Semi-Furnished,05-12-2025,Bachelors,Yes,No,21,36,North,Yes,5,25-01-2025,Yes,2,114000,99acres
